epsilon,ASR_Argmax_Random,ASR_VDS_Random,Acc_Argmax_Random,VDS_Coverage_Random,VDS_SelAcc_Random,ASR_Argmax_PGD,ASR_VDS_PGD,Acc_Argmax_PGD,VDS_Coverage_PGD,VDS_SelAcc_PGD,seed
0.3,0.02097902097902098,0.055944055944055944,0.965034965034965,0.8881118881118881,0.9921259842519685,0.40559440559440557,0.6013986013986014,0.5804195804195804,0.6013986013986014,0.6395348837209303,23
0.4,0.0,0.055944055944055944,0.986013986013986,0.9440559440559441,0.9925925925925926,0.6013986013986014,0.7692307692307693,0.38461538461538464,0.6363636363636364,0.34065934065934067,23
0.5,0.02097902097902098,0.08391608391608392,0.965034965034965,0.916083916083916,0.9923664122137404,0.7692307692307693,0.8531468531468531,0.21678321678321677,0.7622377622377622,0.1743119266055046,23
0.6,0.04195804195804196,0.11888111888111888,0.958041958041958,0.8741258741258742,0.976,0.8601398601398601,0.9020979020979021,0.1258741258741259,0.8671328671328671,0.0967741935483871,23
0.7,0.04895104895104895,0.11188811188811189,0.9370629370629371,0.8881118881118881,0.9921259842519685,0.9020979020979021,0.9300699300699301,0.08391608391608392,0.9370629370629371,0.05970149253731343,23
0.8,0.06293706293706294,0.1258741258741259,0.9230769230769231,0.8671328671328671,0.9596774193548387,0.9300699300699301,0.958041958041958,0.055944055944055944,0.9440559440559441,0.02962962962962963,23
0.9,0.07692307692307693,0.14685314685314685,0.9230769230769231,0.8601398601398601,0.975609756097561,0.958041958041958,0.965034965034965,0.027972027972027972,0.965034965034965,0.021739130434782608,23
1.0,0.0979020979020979,0.16083916083916083,0.8881118881118881,0.8601398601398601,0.9349593495934959,0.965034965034965,0.9790209790209791,0.02097902097902098,0.9790209790209791,0.007142857142857143,23
0.0,0.0,0.0,0.965034965034965,0.9090909090909091,0.9846153846153847,0.0,0.0,0.965034965034965,0.9090909090909091,0.9846153846153847,47
0.1,0.0,0.006993006993006993,0.965034965034965,0.9020979020979021,0.9922480620155039,0.06993006993006994,0.16783216783216784,0.8951048951048951,0.7832167832167832,0.9553571428571429,47
0.2,0.02097902097902098,0.055944055944055944,0.958041958041958,0.9230769230769231,0.9848484848484849,0.2097902097902098,0.36363636363636365,0.7552447552447552,0.7272727272727273,0.8557692307692307,47
0.3,0.013986013986013986,0.04895104895104895,0.965034965034965,0.916083916083916,0.9770992366412213,0.34265734265734266,0.4825174825174825,0.6223776223776224,0.7552447552447552,0.6666666666666666,47
0.4,0.02097902097902098,0.0979020979020979,0.958041958041958,0.8951048951048951,0.984375,0.4965034965034965,0.7412587412587412,0.46853146853146854,0.6223776223776224,0.39325842696629215,47
