epsilon,attack,seed,Cost_Baseline,Cost_VDS,CostAmplification_Baseline,CostAmplification_VDS,PSI_Baseline,PSI_VDS,Mean_J_Baseline,Mean_J_VDS,SOC_Std_Baseline,SOC_Std_VDS,DecVar_Baseline,DecVar_VDS
0.8,random,23,2397.309020109384,2398.843064420208,2.302788719870646,2.2969792822307533,0.27827380952380953,0.2775297619047619,1.7769335899653844,0.6103635422641093,2.1772207804011776,2.1208703104604956,0.7891042580431301,0.7922118334847584
0.8,worst,23,3502.3592462924885,3503.302627665724,3.364269394409988,3.3545393921288724,0.049107142857142856,0.05133928571428571,2.7326810522556766,1.0024420001857146,2.590294551560044,2.559722284548102,0.3477459437292665,0.351135963010431
0.9,random,23,2537.832093359968,2540.004535476818,2.4377712962713454,2.432146513166145,0.26339285714285715,0.26339285714285715,1.8959025723734242,0.6570730217955248,2.12976924549457,2.0321338523739882,0.8734516392697806,0.8778185874846285
0.9,worst,23,3817.7127468706053,3818.7530228712176,3.667189242377637,3.656594592448386,0.046875,0.05431547619047619,2.9944963596777057,1.0570693074135764,2.6418456263485006,2.6132467071143326,0.3441090152897843,0.34636359561407815
1.0,random,23,2795.400533610564,2796.8364058562247,2.685184413991432,2.6780723488442106,0.20758928571428573,0.20982142857142858,2.0963700548947046,0.6217600087595029,2.2067252781289635,2.1406435257628966,0.9553240838030987,0.9581590006983078
1.0,worst,23,4134.212220436432,4135.149489850085,3.971209880292364,3.959555690821497,0.052083333333333336,0.05505952380952381,3.259225760217788,1.121920196176753,2.688896913650058,2.662577737018518,0.3425082764720572,0.3476193515088759
0.0,random,47,1055.2051307206107,1058.4784153433502,1.0,1.0,1.0,1.0,0.7145190800855689,0.7196827343187582,1.2789114565820412,1.1128630539158302,0.38095642788844486,0.37750622204617457
0.0,worst,47,1055.2051307206107,1058.4784153433502,1.0,1.0,1.0,1.0,0.7145190800855689,0.7196827343187582,1.2789114565820412,1.1128630539158302,0.38095642788844486,0.37750622204617457
0.1,random,47,1198.2162147165395,1201.5197260453674,1.1355291780075643,1.1351386184437378,0.9627976190476191,0.9680059523809523,0.8251682320970298,0.687435582208281,1.3903050452474914,1.2285853916953646,0.39506657590290084,0.39242855759440964
0.1,worst,47,1354.4260417321127,1357.576665955677,1.2835665808478025,1.2825737835337012,0.9657738095238095,0.9657738095238095,0.9566148624999855,0.7350066894052505,1.5938621847194436,1.4265122705238822,0.3860436979428074,0.3860533593821091
0.2,random,47,1362.411022957498,1365.7144007327415,1.2911338120836213,1.2902619278161944,0.7797619047619048,0.7879464285714286,0.9536078467132841,0.6629656109690757,1.586152239728397,1.4040480912018425,0.43322688490291483,0.4288690443553659
0.2,worst,47,1656.1466744577237,1658.994811099523,1.5695021055543237,1.5673392929428578,0.6547619047619048,0.7113095238095238,1.204755859778075,0.7586079790235819,1.9084156892946502,1.7344427182985624,0.3855340931905536,0.3875670691744495
0.3,random,47,1524.2972064835656,1527.0737745352942,1.4445506016850078,1.442706579935256,0.6145833333333334,0.6205357142857143,1.083975029850962,0.6596063989742902,1.652995804024638,1.4866884035101475,0.4675969541192605,0.47227726393878605
0.3,worst,47,1962.2520955718478,1963.781862539428,1.8595930198252593,1.855287584586611,0.3318452380952381,0.328125,1.4574112085458735,0.7939408253132992,2.1002884238975414,2.002759459410578,0.37622369667460365,0.38062225888260165
0.4,random,47,1681.4670314956409,1684.410555432581,1.593497778339411,1.5913508778411796,0.47098214285714285,0.47023809523809523,1.2045864683360419,0.624953847115055,1.7522096129850253,1.594358905073901,0.5535672004212081,0.5524660320246504
0.4,worst,47,2271.052131997435,2272.0760313070923,2.152237575310603,2.146549233665832,0.10119047619047619,0.10119047619047619,1.712879374309686,0.8319550160810871,2.2367721035841943,2.170252130849131,0.36597342112705583,0.3734231679917869
0.5,random,47,1861.4038306879872,1863.4238001450053,1.7640208301648561,1.7604740664839595,0.40476190476190477,0.40848214285714285,1.3537070763657326,0.6473647577167908,1.9199794881489924,1.7991993590458741,0.5848582737956468,0.5879251904797033
0.5,worst,47,2581.2773642693874,2582.491255498008,2.44623276471998,2.4398147549001243,0.04092261904761905,0.04017857142857143,1.9695740732075568,0.8751941291883936,2.342793535355796,2.2817781062617764,0.35866691214920676,0.3642056831635562
0.6,random,47,2030.4335486732225,2032.4092504341206,1.9242074261775226,1.9201234724988188,0.3556547619047619,0.35639880952380953,1.485018211890262,0.6277941424729921,1.8541749977066075,1.7557916990658675,0.7061863117764754,0.7066425375055752
0.6,worst,47,2892.52098920726,2893.6001292722294,2.741193067581018,2.733735603227772,0.036458333333333336,0.043154761904761904,2.2267287436906087,0.9180141499497144,2.438521006887598,2.392750601110187,0.35501285352445366,0.3604224293557316
0.7,random,47,2215.8576277690963,2217.817609908562,2.0999306800715267,2.0952884610208558,0.28422619047619047,0.2961309523809524,1.6297925502138557,0.5967436116501788,2.0569894911321414,1.9411354377400394,0.7386487678088601,0.74106799649464
0.7,worst,47,3204.6383255891783,3205.794602207923,3.0369813719543775,3.0286820739448186,0.03869047619047619,0.03720238095238095,2.4867591122889907,0.9652621854331352,2.5186224283797687,2.4810786504190907,0.3549380871596732,0.35745728902404084
0.8,random,47,2311.3654297100984,2312.8118024696155,2.1904418036061317,2.1850344503429326,0.29464285714285715,0.29910714285714285,1.7146826933024946,0.6424125170198268,2.100690957948626,2.0158317908896097,0.7946212392801533,0.7995627931899134
0.8,worst,47,3517.8842410867005,3518.909883411643,3.333839211608363,3.3244984804628026,0.04241071428571429,0.04389880952380952,2.7467187117029437,1.016473416717211,2.5851496230904782,2.551105217403047,0.35257220938088163,0.3539713522084771
0.9,random,47,2518.0111005637027,2519.4224103146507,2.3862763999679633,2.3802303134328895,0.25595238095238093,0.25669642857142855,1.870013768247589,0.5719063604936697,2.1549155258351,2.0899081080120165,0.8766954995615269,0.8825395984847239
0.9,worst,47,3832.3528818570803,3833.4759520343614,3.6318558072589413,3.6216855218449164,0.04241071428571429,0.046875,3.008986088563835,1.0694470189966603,2.641343593361,2.6125772578044675,0.3506988053654726,0.35084098999667573
1.0,random,47,2787.1297515027527,2789.0004376316365,2.6413155796535905,2.6349147958080352,0.20982142857142858,0.21577380952380953,2.0970138740819837,0.6549003678260849,2.123695445508685,2.0547649069696257,0.9920930496065536,0.9928758497314017
